1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,1
1758,0
1759,1
1760,0
1761,0
1762,1
1763,1
1764,0
1765,2
1766,2
1767,2
1768,1
1769,0
1770,0
1771,1
1772,0
1773,0
1774,1
1775,0
1776,0
1777,1
1778,0
1779,2
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,2
1788,1
1789,1
1790,0
1791,1
1792,0
1793,0
1794,3
1795,3
1796,1
1797,3
1798,1
1799,0
1800,2
1801,1
1802,0
1803,1
1804,1
1805,0
1806,8
1807,2
1808,0
1809,2
1810,1
1811,0
1812,1
1813,1
1814,3
1815,4
1816,6
1817,4
1818,3
1819,0
1820,3
1821,1
1822,4
1823,2
1824,1
1825,3
1826,4
1827,2
1828,2
1829,2
1830,1
1831,2
1832,3
1833,4
1834,2
1835,6
1836,6
1837,8
1838,7
1839,6
1840,2
1841,5
1842,4
1843,4
1844,7
1845,6
1846,6
1847,14
1848,10
1849,13
1850,8
1851,10
1852,16
1853,7
1854,7
1855,7
1856,3
1857,11
1858,7
1859,10
1860,2
1861,11
1862,9
1863,8
1864,8
1865,9
1866,7
1867,12
1868,6
1869,9
1870,8
1871,11
1872,11
1873,8
1874,3
1875,9
1876,9
1877,7
1878,10
1879,10
1880,6
1881,9
1882,9
1883,2
1884,10
1885,8
1886,2
1887,8
1888,6
1889,3
1890,7
1891,1
1892,4
1893,6
1894,3
1895,4
1896,10
1897,8
1898,2
1899,0
1900,3
1901,4
1902,7
1903,3
1904,1
1905,4
1906,4
1907,4
1908,8
1909,2
1910,9
1911,2
1912,3
1913,3
1914,4
1915,4
1916,3
1917,1
1918,2
1919,2
1920,1
1921,0
1922,0
1923,6
1924,4
1925,3
1926,3
1927,2
1928,0
1929,1
1930,5
1931,4
1932,3
1933,6
1934,1
1935,2
1936,4
1937,4
1938,2
1939,1
1940,3
1941,1
1942,7
1943,0
1944,0
1945,1
1946,0
1947,3
1948,3
1949,0
1950,0
1951,3
1952,2
1953,0
1954,0
1955,0
1956,1
1957,4
1958,2
1959,1
1960,3
1961,0
1962,2
1963,0
1964,0
1965,1
1966,0
1967,1
1968,1
1969,0
1970,0
1971,1
1972,0
1973,2
1974,1
1975,1
1976,0
1977,0
1978,0
1979,2
1980,0
